论文代号,序号,第一作者,年份,原文件名,PMID,来源表,备注
P54,54,McIntyre JP,2012,mcintyre2012.pdf,22645195,3-无训练信号,
P55,55,Michailidis Y,2019,michailidis2019.pdf,30204520,0-第4关推测,
P56,56,Moreno SD,2014,moreno2014.pdf,24942176,1-第5关数据,
P57,57,Mueller S,2017,mueller2017.pdf,28522976,3-无训练信号,
P58,58,Negra Y,2017,negra2017.pdf,28315285,0-第4关推测,
P59,59,Negra Y,2020,negra2020.pdf,33308812,2-第4关不确定,
P60,60,Nunes GS,2016,nunes2016.pdf,27543811,3-无训练信号,
P61,61,Ong JH,2016,ong2016.pdf,26332775,1-第5关数据,
P62,62,Pelzer T,2018,pelzer2017.pdf,29285994,1-第5关数据,
P63,63,Peng HT,2019,peng2019.pdf,31365944,3-无训练信号,
P64,64,Phillips JH,2015,phillips2015.pdf,25932990,1-第5关数据,
P65,65,Piirainen JM,2014,piirainen2014.pdf,24581701,0-第4关推测,
P66,66,Potdevin FJ,2011,potdevin2011.pdf,21157388,2-第4关不确定,
P67,67,Prawiradilaga RS,2020,prawiradilaga2020.pdf,32205909,2-第4关不确定,
P68,68,Radnor JM,2017,radnor2017.pdf,27379963,3-无训练信号,
P69,69,Ramirez-Campillo R,2020,ramirez-campillo2020.pdf,29570574,0-第4关推测,
P70,70,Reiger J,2016,reiger2015.pdf,26008875,2-第4关不确定,
P71,71,Rensing N,2015,rensing2015.pdf,26579625,1-第5关数据,
P72,72,Ribeiro J,2020,ribeiro2020.pdf,31094261,0-第4关推测,
P73,73,Rubley MD,2011,rubley2011.pdf,19966586,1-第5关数据,
P74,74,Ruffieux J,2020,ruffieux2020.pdf,32256388,1-第5关数据,
P75,75,Zemkova E,2025,s13102-025-01296-y.pdf,40847430,3-无训练信号,
P76,76,Ahmadabadi S,2023,s41598-023-36461-1.pdf,37280245,1-第5关数据,
P77,77,Chang CH,2025,s41598-025-09673-w.pdf,40595375,2-第4关不确定,
P78,78,Santos EJ,2011,santos2011.pdf,20453686,0-第4关推测,
P79,79,Scarborough DM,2019,scarborough2019.pdf,31145864,3-无训练信号,
P80,80,Stien N,2020,stien2020.pdf,32258385,1-第5关数据,
P81,81,Toumi H,2004,toumi2004.pdf,15241721,1-第5关数据,
P82,82,Van Roie E,2020,vanroie2020.pdf,32841300,3-无训练信号,
P83,83,Vescovi JD,2008,vescovi2008.pdf,19083719,1-第5关数据,
P84,84,Vissing K,2008,vissing2008.pdf,18978625,2-第4关不确定,
P85,85,Wallace BJ,2010,wallace2010.pdf,19924006,3-无训练信号,
P86,86,Walsh MS,2007,walsh2007.pdf,18158693,2-第4关不确定,
P87,87,Weakley JJS,2021,weakley2021.pdf,29985223,1-第5关数据,
P88,88,Wehbe G,2015,wehbe2015.pdf,25115142,3-无训练信号,
P89,89,Yanci J,2017,yanci2017.pdf,27662489,0-第4关推测,
P90,90,Zubac D,2017,zubac2017.pdf,28538312,1-第5关数据,
P91,91,Romero-Morales C,2023,下载.pdf,37531523,1-第5关数据,
